"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Manitoba","2016A000246","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974168","8.119","112","","","","0"
"2018","Manitoba","2016A000246","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974168","8.119","34","","","","0"
"2019","Manitoba","2016A000246","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974168","8.119","-85","","","","0"
"2020","Manitoba","2016A000246","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974168","8.119","403","","","","0"
"2016","Saskatchewan","2016A000247","Total, industries and households","Kilotonnes","198","units","0","v1013974177","9.1","77187","","","","0"
"2017","Saskatchewan","2016A000247","Total, industries and households","Kilotonnes","198","units","0","v1013974177","9.1","81177","","","","0"
"2018","Saskatchewan","2016A000247","Total, industries and households","Kilotonnes","198","units","0","v1013974177","9.1","82093","","","","0"
"2019","Saskatchewan","2016A000247","Total, industries and households","Kilotonnes","198","units","0","v1013974177","9.1","78799","","","","0"
"2020","Saskatchewan","2016A000247","Total, industries and households","Kilotonnes","198","units","0","v1013974177","9.1","66483","","","","0"
"2016","Saskatchewan","2016A000247","Total, industries","Kilotonnes","198","units","0","v1013974178","9.2","71120","","","","0"
"2017","Saskatchewan","2016A000247","Total, industries","Kilotonnes","198","units","0","v1013974178","9.2","74842","","","","0"
"2018","Saskatchewan","2016A000247","Total, industries","Kilotonnes","198","units","0","v1013974178","9.2","75590","","","","0"
"2019","Saskatchewan","2016A000247","Total, industries","Kilotonnes","198","units","0","v1013974178","9.2","72191","","","","0"
"2020","Saskatchewan","2016A000247","Total, industries","Kilotonnes","198","units","0","v1013974178","9.2","60509","","","","0"
"2016","Saskatchewan","2016A000247","Total, households","Kilotonnes","198","units","0","v1013974289","9.115","6067","","","","0"
"2017","Saskatchewan","2016A000247","Total, households","Kilotonnes","198","units","0","v1013974289","9.115","6335","","","","0"
"2018","Saskatchewan","2016A000247","Total, households","Kilotonnes","198","units","0","v1013974289","9.115","6503","","","","0"
"2019","Saskatchewan","2016A000247","Total, households","Kilotonnes","198","units","0","v1013974289","9.115","6609","","","","0"
"2020","Saskatchewan","2016A000247","Total, households","Kilotonnes","198","units","0","v1013974289","9.115","5974","","","","0"
"2016","Saskatchewan","2016A000247","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974292","9.118","76806","","","","0"
"2017","Saskatchewan","2016A000247","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974292","9.118","79386","","","","0"
"2018","Saskatchewan","2016A000247","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974292","9.118","80444","","","","0"
"2019","Saskatchewan","2016A000247","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974292","9.118","78016","","","","0"
"2020","Saskatchewan","2016A000247","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974292","9.118","65894","","","","0"
"2016","Saskatchewan","2016A000247","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974293","9.119","-380","","","","0"
"2017","Saskatchewan","2016A000247","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974293","9.119","-1791","","","","0"
"2018","Saskatchewan","2016A000247","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974293","9.119","-1649","","","","0"
"2019","Saskatchewan","2016A000247","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974293","9.119","-783","","","","0"
"2020","Saskatchewan","2016A000247","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974293","9.119","-589","","","","0"
"2016","Alberta","2016A000248","Total, industries and households","Kilotonnes","198","units","0","v1013974302","10.1","271467","","","","0"
"2017","Alberta","2016A000248","Total, industries and households","Kilotonnes","198","units","0","v1013974302","10.1","281842","","","","0"
"2018","Alberta","2016A000248","Total, industries and households","Kilotonnes","198","units","0","v1013974302","10.1","285070","","","","0"
"2019","Alberta","2016A000248","Total, industries and households","Kilotonnes","198","units","0","v1013974302","10.1","285743","","","","0"
"2020","Alberta","2016A000248","Total, industries and households","Kilotonnes","198","units","0","v1013974302","10.1","261665","","","","0"
"2016","Alberta","2016A000248","Total, industries","Kilotonnes","198","units","0","v1013974303","10.2","253699","","","","0"
"2017","Alberta","2016A000248","Total, industries","Kilotonnes","198","units","0","v1013974303","10.2","261735","","","","0"
"2018","Alberta","2016A000248","Total, industries","Kilotonnes","198","units","0","v1013974303","10.2","264185","","","","0"
"2019","Alberta","2016A000248","Total, industries","Kilotonnes","198","units","0","v1013974303","10.2","264872","","","","0"
"2020","Alberta","2016A000248","Total, industries","Kilotonnes","198","units","0","v1013974303","10.2","242358","","","","0"
"2016","Alberta","2016A000248","Total, households","Kilotonnes","198","units","0","v1013974414","10.115","17767","","","","0"
"2017","Alberta","2016A000248","Total, households","Kilotonnes","198","units","0","v1013974414","10.115","20107","","","","0"
"2018","Alberta","2016A000248","Total, households","Kilotonnes","198","units","0","v1013974414","10.115","20884","","","","0"
"2019","Alberta","2016A000248","Total, households","Kilotonnes","198","units","0","v1013974414","10.115","20872","","","","0"
"2020","Alberta","2016A000248","Total, households","Kilotonnes","198","units","0","v1013974414","10.115","19307","","","","0"
"2016","Alberta","2016A000248","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974417","10.118","268163","","","","0"
"2017","Alberta","2016A000248","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974417","10.118","275817","","","","0"
"2018","Alberta","2016A000248","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974417","10.118","276504","","","","0"
"2019","Alberta","2016A000248","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974417","10.118","278799","","","","0"
"2020","Alberta","2016A000248","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974417","10.118","256460","","","","0"
"2016","Alberta","2016A000248","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974418","10.119","-3303","","","","0"
"2017","Alberta","2016A000248","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974418","10.119","-6025","","","","0"
"2018","Alberta","2016A000248","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974418","10.119","-8566","","","","0"
"2019","Alberta","2016A000248","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974418","10.119","-6944","","","","0"
"2020","Alberta","2016A000248","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974418","10.119","-5206","","","","0"
"2016","British Columbia","2016A000259","Total, industries and households","Kilotonnes","198","units","0","v1013974427","11.1","81183","","","","0"
"2017","British Columbia","2016A000259","Total, industries and households","Kilotonnes","198","units","0","v1013974427","11.1","81609","","","","0"
"2018","British Columbia","2016A000259","Total, industries and households","Kilotonnes","198","units","0","v1013974427","11.1","83296","","","","0"
"2019","British Columbia","2016A000259","Total, industries and households","Kilotonnes","198","units","0","v1013974427","11.1","81713","","","","0"
"2020","British Columbia","2016A000259","Total, industries and households","Kilotonnes","198","units","0","v1013974427","11.1","74841","","","","0"
"2016","British Columbia","2016A000259","Total, industries","Kilotonnes","198","units","0","v1013974428","11.2","67183","","","","0"
"2017","British Columbia","2016A000259","Total, industries","Kilotonnes","198","units","0","v1013974428","11.2","66777","","","","0"
"2018","British Columbia","2016A000259","Total, industries","Kilotonnes","198","units","0","v1013974428","11.2","68499","","","","0"
"2019","British Columbia","2016A000259","Total, industries","Kilotonnes","198","units","0","v1013974428","11.2","66895","","","","0"
"2020","British Columbia","2016A000259","Total, industries","Kilotonnes","198","units","0","v1013974428","11.2","60840","","","","0"
"2016","British Columbia","2016A000259","Total, households","Kilotonnes","198","units","0","v1013974539","11.115","14000","","","","0"
"2017","British Columbia","2016A000259","Total, households","Kilotonnes","198","units","0","v1013974539","11.115","14832","","","","0"
"2018","British Columbia","2016A000259","Total, households","Kilotonnes","198","units","0","v1013974539","11.115","14798","","","","0"
"2019","British Columbia","2016A000259","Total, households","Kilotonnes","198","units","0","v1013974539","11.115","14818","","","","0"
"2020","British Columbia","2016A000259","Total, households","Kilotonnes","198","units","0","v1013974539","11.115","14001","","","","0"
"2016","British Columbia","2016A000259","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974542","11.118","62431","","","","0"
"2017","British Columbia","2016A000259","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974542","11.118","63409","","","","0"
"2018","British Columbia","2016A000259","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974542","11.118","65756","","","","0"
"2019","British Columbia","2016A000259","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974542","11.118","65028","","","","0"
"2020","British Columbia","2016A000259","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974542","11.118","61747","","","","0"
"2016","British Columbia","2016A000259","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974543","11.119","-18752","","","","0"
"2017","British Columbia","2016A000259","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974543","11.119","-18200","","","","0"
"2018","British Columbia","2016A000259","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974543","11.119","-17541","","","","0"
"2019","British Columbia","2016A000259","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974543","11.119","-16686","","","","0"
"2020","British Columbia","2016A000259","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974543","11.119","-13094","","","","0"
"2016","Yukon","2016A000260","Total, industries and households","Kilotonnes","198","units","0","v1013974552","12.1","520","","","","0"
"2017","Yukon","2016A000260","Total, industries and households","Kilotonnes","198","units","0","v1013974552","12.1","550","","","","0"
"2018","Yukon","2016A000260","Total, industries and households","Kilotonnes","198","units","0","v1013974552","12.1","617","","","","0"
"2019","Yukon","2016A000260","Total, industries and households","Kilotonnes","198","units","0","v1013974552","12.1","659","","","","0"
"2020","Yukon","2016A000260","Total, industries and households","Kilotonnes","198","units","0","v1013974552","12.1","553","","","","0"
"2016","Yukon","2016A000260","Total, industries","Kilotonnes","198","units","0","v1013974553","12.2","392","","","","0"
"2017","Yukon","2016A000260","Total, industries","Kilotonnes","198","units","0","v1013974553","12.2","412","","","","0"
"2018","Yukon","2016A000260","Total, industries","Kilotonnes","198","units","0","v1013974553","12.2","470","","","","0"
"2019","Yukon","2016A000260","Total, industries","Kilotonnes","198","units","0","v1013974553","12.2","499","","","","0"
"2020","Yukon","2016A000260","Total, industries","Kilotonnes","198","units","0","v1013974553","12.2","403","","","","0"
"2016","Yukon","2016A000260","Total, households","Kilotonnes","198","units","0","v1013974664","12.115","128","","","","0"
"2017","Yukon","2016A000260","Total, households","Kilotonnes","198","units","0","v1013974664","12.115","139","","","","0"
"2018","Yukon","2016A000260","Total, households","Kilotonnes","198","units","0","v1013974664","12.115","147","","","","0"
"2019","Yukon","2016A000260","Total, households","Kilotonnes","198","units","0","v1013974664","12.115","160","","","","0"
"2020","Yukon","2016A000260","Total, households","Kilotonnes","198","units","0","v1013974664","12.115","149","","","","0"
"2016","Yukon","2016A000260","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974667","12.118","528","","","","0"
"2017","Yukon","2016A000260","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974667","12.118","564","","","","0"
"2018","Yukon","2016A000260","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974667","12.118","645","","","","0"
"2019","Yukon","2016A000260","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974667","12.118","692","","","","0"
"2020","Yukon","2016A000260","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974667","12.118","601","","","","0"
"2016","Yukon","2016A000260","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974668","12.119","8","","","","0"
"2017","Yukon","2016A000260","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974668","12.119","14","","","","0"
"2018","Yukon","2016A000260","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974668","12.119","28","","","","0"
"2019","Yukon","2016A000260","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974668","12.119","33","","","","0"
"2020","Yukon","2016A000260","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974668","12.119","48","","","","0"
"2016","Northwest Territories","2016A000261","Total, industries and households","Kilotonnes","198","units","0","v1013974677","13.1","1962","","","","0"
"2017","Northwest Territories","2016A000261","Total, industries and households","Kilotonnes","198","units","0","v1013974677","13.1","2165","","","","0"
"2018","Northwest Territories","2016A000261","Total, industries and households","Kilotonnes","198","units","0","v1013974677","13.1","2129","","","","0"
"2019","Northwest Territories","2016A000261","Total, industries and households","Kilotonnes","198","units","0","v1013974677","13.1","2299","","","","0"
"2020","Northwest Territories","2016A000261","Total, industries and households","Kilotonnes","198","units","0","v1013974677","13.1","1830","","","","0"
"2016","Northwest Territories","2016A000261","Total, industries","Kilotonnes","198","units","0","v1013974678","13.2","1806","","","","0"
"2017","Northwest Territories","2016A000261","Total, industries","Kilotonnes","198","units","0","v1013974678","13.2","2032","","","","0"
"2018","Northwest Territories","2016A000261","Total, industries","Kilotonnes","198","units","0","v1013974678","13.2","1988","","","","0"
"2019","Northwest Territories","2016A000261","Total, industries","Kilotonnes","198","units","0","v1013974678","13.2","2156","","","","0"
"2020","Northwest Territories","2016A000261","Total, industries","Kilotonnes","198","units","0","v1013974678","13.2","1700","","","","0"
"2016","Northwest Territories","2016A000261","Total, households","Kilotonnes","198","units","0","v1013974789","13.115","156","","","","0"
"2017","Northwest Territories","2016A000261","Total, households","Kilotonnes","198","units","0","v1013974789","13.115","133","","","","0"
"2018","Northwest Territories","2016A000261","Total, households","Kilotonnes","198","units","0","v1013974789","13.115","141","","","","0"
"2019","Northwest Territories","2016A000261","Total, households","Kilotonnes","198","units","0","v1013974789","13.115","144","","","","0"
"2020","Northwest Territories","2016A000261","Total, households","Kilotonnes","198","units","0","v1013974789","13.115","130","","","","0"
"2016","Northwest Territories","2016A000261","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974792","13.118","1496","","","","0"
"2017","Northwest Territories","2016A000261","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974792","13.118","1576","","","","0"
"2018","Northwest Territories","2016A000261","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974792","13.118","1601","","","","0"
"2019","Northwest Territories","2016A000261","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974792","13.118","1580","","","","0"
"2020","Northwest Territories","2016A000261","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974792","13.118","1401","","","","0"
"2016","Northwest Territories","2016A000261","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974793","13.119","-466","","","","0"
"2017","Northwest Territories","2016A000261","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974793","13.119","-589","","","","0"
"2018","Northwest Territories","2016A000261","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974793","13.119","-528","","","","0"
"2019","Northwest Territories","2016A000261","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974793","13.119","-719","","","","0"
"2020","Northwest Territories","2016A000261","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974793","13.119","-429","","","","0"
"2016","Nunavut","2016A000262","Total, industries and households","Kilotonnes","198","units","0","v1013974802","14.1","685","","","","0"
"2017","Nunavut","2016A000262","Total, industries and households","Kilotonnes","198","units","0","v1013974802","14.1","708","","","","0"
"2018","Nunavut","2016A000262","Total, industries and households","Kilotonnes","198","units","0","v1013974802","14.1","762","","","","0"
"2019","Nunavut","2016A000262","Total, industries and households","Kilotonnes","198","units","0","v1013974802","14.1","944","","","","0"
"2020","Nunavut","2016A000262","Total, industries and households","Kilotonnes","198","units","0","v1013974802","14.1","803","","","","0"
"2016","Nunavut","2016A000262","Total, industries","Kilotonnes","198","units","0","v1013974803","14.2","622","","","","0"
"2017","Nunavut","2016A000262","Total, industries","Kilotonnes","198","units","0","v1013974803","14.2","651","","","","0"
"2018","Nunavut","2016A000262","Total, industries","Kilotonnes","198","units","0","v1013974803","14.2","716","","","","0"
"2019","Nunavut","2016A000262","Total, industries","Kilotonnes","198","units","0","v1013974803","14.2","904","","","","0"
"2020","Nunavut","2016A000262","Total, industries","Kilotonnes","198","units","0","v1013974803","14.2","768","","","","0"
"2016","Nunavut","2016A000262","Total, households","Kilotonnes","198","units","0","v1013974914","14.115","63","","","","0"
"2017","Nunavut","2016A000262","Total, households","Kilotonnes","198","units","0","v1013974914","14.115","57","","","","0"
"2018","Nunavut","2016A000262","Total, households","Kilotonnes","198","units","0","v1013974914","14.115","46","","","","0"
"2019","Nunavut","2016A000262","Total, households","Kilotonnes","198","units","0","v1013974914","14.115","41","","","","0"
"2020","Nunavut","2016A000262","Total, households","Kilotonnes","198","units","0","v1013974914","14.115","35","","","","0"
"2016","Nunavut","2016A000262","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974917","14.118","742","","","","0"
"2017","Nunavut","2016A000262","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974917","14.118","747","","","","0"
"2018","Nunavut","2016A000262","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974917","14.118","742","","","","0"
"2019","Nunavut","2016A000262","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974917","14.118","728","","","","0"
"2020","Nunavut","2016A000262","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013974917","14.118","603","","","","0"
"2016","Nunavut","2016A000262","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974918","14.119","57","","","","0"
"2017","Nunavut","2016A000262","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974918","14.119","39","","","","0"
"2018","Nunavut","2016A000262","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974918","14.119","-21","","","","0"
"2019","Nunavut","2016A000262","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974918","14.119","-216","","","","0"
"2020","Nunavut","2016A000262","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013974918","14.119","-200","","","","0"


